analysis,race,n,diabetes_yes_n,diabetes_yes_pct,highbp_high_n,highbp_high_pct,mean_bpsysave,mean_bpdiaave,mean_bmi,mean_age
baseline,White,1055,130,12.322274881516588,403,38.199052132701425,122.2691943127962,70.02748815165877,28.43869194312796,50.94597156398104
baseline,Black,184,34,18.478260869565215,81,44.02173913043478,125.02717391304348,70.70108695652173,30.538858695652173,47.21739130434783
drop_bpdiaave_zero,White,1052,129,12.262357414448669,401,38.11787072243346,122.22528517110266,70.22718631178707,28.43546577946768,50.89163498098859
drop_bpdiaave_zero,Black,183,34,18.579234972677597,81,44.26229508196721,125.18032786885246,71.08743169398907,30.575628415300546,47.16393442622951
