analysis,subset,n,pc1_variance_pct,pc1_pc2_cumulative_pct,pc1_pc4_cumulative_pct
baseline,All,1508,19.40406797512861,33.821904031288156,55.87021565862912
baseline,White,1055,19.353074855044053,34.0763009782962,56.55311293072812
baseline,Black,184,19.8108095841476,35.120218989953145,59.31881356156067
drop_bpdiaave_zero,All,1504,19.388501622086757,33.90900283528037,56.056657688952214
drop_bpdiaave_zero,White,1052,19.34030790443576,34.15808269045003,56.747959582810005
drop_bpdiaave_zero,Black,183,19.909661112764447,35.348748154743056,59.7365014086004
