race,n_baseline,diabetes_yes_n_baseline,diabetes_yes_pct_baseline,roc_auc_baseline,accuracy_at_0_5_baseline,sensitivity_at_0_5_baseline,specificity_at_0_5_baseline,predicted_positive_pct_at_0_5_baseline,n_drop_zero,diabetes_yes_n_drop_zero,diabetes_yes_pct_drop_zero,roc_auc_drop_zero,accuracy_at_0_5_drop_zero,sensitivity_at_0_5_drop_zero,specificity_at_0_5_drop_zero,predicted_positive_pct_at_0_5_drop_zero,n_delta,diabetes_yes_n_delta,diabetes_yes_pct_delta,roc_auc_delta,accuracy_at_0_5_delta,sensitivity_at_0_5_delta,specificity_at_0_5_delta,predicted_positive_pct_at_0_5_delta
White,1055,130,12.322274881516588,0.7697796257796258,0.8796208530805687,0.09230769230769231,0.9902702702702703,1.9905213270142181,1052,129,12.262357414448669,0.7704233750745378,0.8811787072243346,0.10077519379844961,0.9902491874322861,2.091254752851711,-3,-1,-0.059917467067919006,0.000643749294912066,0.0015578541437658577,0.008467501490757298,-2.108283798418764e-05,0.10073342583749278
Black,184,34,18.478260869565215,0.8241176470588235,0.8586956521739131,0.38235294117647056,0.9666666666666667,9.782608695652174,183,34,18.579234972677597,0.8093170153967627,0.8415300546448088,0.3235294117647059,0.959731543624161,9.289617486338798,-1,0,0.10097410311238164,-0.014800631662060804,-0.017165597529104293,-0.05882352941176466,-0.006935123042505653,-0.4929912093133755
