race,n_baseline,diabetes_yes_n_baseline,diabetes_yes_pct_baseline,highbp_high_n_baseline,highbp_high_pct_baseline,mean_bpsysave_baseline,mean_bpdiaave_baseline,mean_bmi_baseline,mean_age_baseline,n_drop_zero,diabetes_yes_n_drop_zero,diabetes_yes_pct_drop_zero,highbp_high_n_drop_zero,highbp_high_pct_drop_zero,mean_bpsysave_drop_zero,mean_bpdiaave_drop_zero,mean_bmi_drop_zero,mean_age_drop_zero,n_delta,diabetes_yes_n_delta,diabetes_yes_pct_delta,highbp_high_n_delta,highbp_high_pct_delta,mean_bpsysave_delta,mean_bpdiaave_delta,mean_bmi_delta,mean_age_delta
White,1055,130,12.322274881516588,403,38.199052132701425,122.2691943127962,70.02748815165877,28.43869194312796,50.94597156398104,1052,129,12.262357414448669,401,38.11787072243346,122.22528517110266,70.22718631178707,28.43546577946768,50.89163498098859,-3,-1,-0.059917467067919006,-2,-0.08118141026796621,-0.04390914169354687,0.19969816012829256,-0.003226163660279724,-0.05433658299244826
Black,184,34,18.478260869565215,81,44.02173913043478,125.02717391304348,70.70108695652173,30.538858695652173,47.21739130434783,183,34,18.579234972677597,81,44.26229508196721,125.18032786885246,71.08743169398907,30.575628415300546,47.16393442622951,-1,0,0.10097410311238164,0,0.24055595153242848,0.15315395580897473,0.3863447374673399,0.0367697196483725,-0.05345687811831823
