analysis,subset,n,mean_communality,min_communality,min_communality_variable,bpdiaave_communality
baseline,All,1508,0.4433502133933989,0.018091133959423633,SleepHrsNight,0.6856983255809149
baseline,White,1055,0.45045946616828103,0.028094292110087515,SleepHrsNight,0.7628086131520836
baseline,Black,184,0.46720789791988654,0.07837227019254134,Poverty,0.6215534835151039
drop_bpdiaave_zero,All,1504,0.4461023790432022,0.02119414596243807,SleepHrsNight,0.7163895538844175
drop_bpdiaave_zero,White,1052,0.4541065336252533,0.0319221033913919,SleepHrsNight,0.797474584454441
drop_bpdiaave_zero,Black,183,0.4736994822126297,0.07797011802211595,Poverty,0.6657073153526345
