race,cluster,n_baseline,pct_of_race_baseline,diabetes_yes_pct_baseline,highbp_high_pct_baseline,n_drop_zero,pct_of_race_drop_zero,diabetes_yes_pct_drop_zero,highbp_high_pct_drop_zero,n_delta,pct_of_race_delta,diabetes_yes_pct_delta,highbp_high_pct_delta
White,C1,421,39.905213270142184,16.152019002375297,47.26840855106889,457,43.441064638783274,14.87964989059081,47.04595185995623,36,3.53585136864109,-1.2723691117844869,-0.22245669111265443
White,C2,222,21.04265402843602,7.657657657657657,33.33333333333333,194,18.44106463878327,7.216494845360824,30.927835051546392,-28,-2.601589389652748,-0.44116281229683274,-2.4054982817869366
White,C3,253,23.981042654028435,9.486166007905137,30.434782608695656,243,23.098859315589355,9.876543209876543,29.218106995884774,-10,-0.8821833384390807,0.3903772019714058,-1.2166756128108815
White,C4,159,15.071090047393366,13.20754716981132,33.33333333333333,158,15.019011406844108,14.556962025316455,34.810126582278485,-1,-0.052078640549257926,1.3494148555051346,1.4767932489451567
Black,C1,69,37.5,21.73913043478261,47.82608695652174,44,24.043715846994534,18.181818181818183,45.45454545454545,-25,-13.456284153005466,-3.557312252964426,-2.3715415019762887
Black,C2,44,23.91304347826087,11.363636363636363,38.63636363636363,42,22.950819672131146,16.666666666666664,45.23809523809524,-2,-0.9622238061297246,5.303030303030301,6.601731601731608
Black,C3,42,22.82608695652174,7.142857142857142,40.476190476190474,41,22.404371584699454,9.75609756097561,39.02439024390244,-1,-0.4217153718222839,2.613240418118467,-1.4518002322880363
Black,C4,29,15.760869565217392,37.93103448275862,48.275862068965516,56,30.601092896174865,26.785714285714285,46.42857142857143,27,14.840223330957473,-11.145320197044335,-1.8472906403940854
