race,feature,coefficient_baseline,odds_ratio_baseline,coefficient_drop_zero,odds_ratio_drop_zero,coefficient_delta,odds_ratio_delta
White,Age,0.7590468134476867,2.1362390154307906,0.7607904161489729,2.1399670166807403,0.001743602701286262,0.003728001249949653
White,BMI,0.5123114359237687,1.6691448608725907,0.5147342779118779,1.6731938381611617,0.002422841988109159,0.00404897728857101
White,DirectChol,-0.3311106915018088,0.7181256742315835,-0.3223188569581976,0.7244671521053532,0.008791834543611154,0.0063414778737697075
White,TotChol,-0.2630625851238425,0.7686937870098245,-0.260044247963709,0.7710174690957828,0.0030183371601334996,0.002323682085958345
White,Poverty,-0.15912455522935504,0.8528901204284214,-0.15730835447298788,0.8544405476275828,0.0018162007563671534,0.0015504271991614305
White,Gender_male,-0.00028260999283655523,0.9997174299376058,0.019607899349636564,1.019801396831947,0.01989050934247312,0.02008396689434122
White,HighBP_High,0.393345049779506,1.481929640616358,0.37838433012530404,1.4599239278132965,-0.014960719654201982,-0.022005712803061517
White,PhysActive_Yes,-0.2631397600074644,0.768634465445368,-0.25533826491533096,0.7746544152267055,0.007801495092133459,0.006019949781337575
White,SmokeNow_Yes,-0.26297935431510977,0.7687577686779712,-0.24157011960429056,0.7853937303605589,0.021409234710819208,0.01663596168258774
Black,Age,1.3879895515397243,4.006786512269443,1.3896114472637755,4.013290375048769,0.0016218957240512477,0.006503862779326575
Black,BMI,0.7288248111338714,2.072643428401131,0.7238828840851674,2.0624258438537466,-0.004941927048703998,-0.010217584547384195
Black,DirectChol,0.4133190949732022,1.511827365486514,0.40831325075737185,1.5042783036913128,-0.005005844215830335,-0.007549061795201206
Black,TotChol,-0.3074502631909157,0.735319439080875,-0.3069653827756421,0.7356760675299433,0.00048488041527355863,0.00035662844906825253
Black,Poverty,-0.17945394750674273,0.8357264373430743,-0.17856798111339653,0.8364671909735486,0.0008859663933462048,0.0007407536304743223
Black,Gender_male,0.7431339556661198,2.10251438703865,0.7336882813281266,2.082748220197672,-0.00944567433799326,-0.01976616684097765
Black,HighBP_High,0.47924476867291915,1.6148543529451604,0.4706803827351989,1.601083172062037,-0.008564385937720242,-0.013771180883123346
Black,PhysActive_Yes,-0.17182076364817894,0.8421300999691884,-0.176232302337104,0.8384231930456033,-0.0044115386889250485,-0.003706906923585107
Black,SmokeNow_Yes,0.05950436203960153,1.0613103904473922,0.062449376023022675,1.064440571338892,0.0029450139834211464,0.0031301808914998563
