analysis,race,n,diabetes_yes_n,diabetes_yes_pct,roc_auc,accuracy_at_0_5,sensitivity_at_0_5,specificity_at_0_5,predicted_positive_pct_at_0_5
baseline,White,1055,130,12.322274881516588,0.7697796257796258,0.8796208530805687,0.09230769230769231,0.9902702702702703,1.9905213270142181
baseline,Black,184,34,18.478260869565215,0.8241176470588235,0.8586956521739131,0.38235294117647056,0.9666666666666667,9.782608695652174
drop_bpdiaave_zero,White,1052,129,12.262357414448669,0.7704233750745378,0.8811787072243346,0.10077519379844961,0.9902491874322861,2.091254752851711
drop_bpdiaave_zero,Black,183,34,18.579234972677597,0.8093170153967627,0.8415300546448088,0.3235294117647059,0.959731543624161,9.289617486338798
