subset,n_baseline,pc1_variance_pct_baseline,pc1_pc2_cumulative_pct_baseline,pc1_pc4_cumulative_pct_baseline,n_drop_zero,pc1_variance_pct_drop_zero,pc1_pc2_cumulative_pct_drop_zero,pc1_pc4_cumulative_pct_drop_zero,n_delta,pc1_variance_pct_delta,pc1_pc2_cumulative_pct_delta,pc1_pc4_cumulative_pct_delta
All,1508,19.40406797512861,33.821904031288156,55.87021565862912,1504,19.388501622086757,33.90900283528037,56.056657688952214,-4,-0.0155663530418515,0.08709880399221248,0.18644203032309292
White,1055,19.353074855044053,34.0763009782962,56.55311293072812,1052,19.34030790443576,34.15808269045003,56.747959582810005,-3,-0.012766950608291694,0.0817817121538269,0.19484665208188545
Black,184,19.8108095841476,35.120218989953145,59.31881356156067,183,19.909661112764447,35.348748154743056,59.7365014086004,-1,0.09885152861684787,0.22852916478991148,0.41768784703972983
