subset,n_baseline,mean_communality_baseline,min_communality_baseline,bpdiaave_communality_baseline,n_drop_zero,mean_communality_drop_zero,min_communality_drop_zero,bpdiaave_communality_drop_zero,n_delta,mean_communality_delta,min_communality_delta,bpdiaave_communality_delta
All,1508,0.4433502133933989,0.018091133959423633,0.6856983255809149,1504,0.4461023790432022,0.02119414596243807,0.7163895538844175,-4,0.0027521656498032954,0.003103012003014438,0.03069122830350257
White,1055,0.45045946616828103,0.028094292110087515,0.7628086131520836,1052,0.4541065336252533,0.0319221033913919,0.797474584454441,-3,0.0036470674569722417,0.003827811281304383,0.03466597130235738
Black,184,0.46720789791988654,0.07837227019254134,0.6215534835151039,183,0.4736994822126297,0.07797011802211595,0.6657073153526345,-1,0.006491584292743158,-0.000402152170425385,0.04415383183753063
